group	lib.size	norm.factors	eff.lib.size
DMSO_1dpa_rep1	996535	1.05848253376568	1054814.89178618
DMSO_1dpa_rep2	995789	0.864694301100486	861053.073398552
DMSO_1dpa_rep3	996077	1.08830277609823	1084033.3643076
DMSO_2dpa_rep1	995767	0.931912373637468	927967.58855986
DMSO_2dpa_rep2	995963	0.944759675635523	940945.680824982
DMSO_2dpa_rep3	995825	0.98100406482989	976908.372859225
LY_1dpa_rep1	995944	1.04314579612652	1038914.79677744
LY_1dpa_rep2	995848	0.994763510159979	990633.252065795
LY_1dpa_rep3	995965	1.08987947626356	1085481.81257684
LY_2dpa_rep1	996012	1.00718324254668	1003166.5957754
LY_2dpa_rep2	995872	1.00429370503876	1000147.98062436
LY_2dpa_rep3	996193	1.01607127131769	1012203.08798779
