group	lib.size	norm.factors	eff.lib.size
DMSO_1dpa_rep1	987988	1.02906648705939	1016705.34041684
DMSO_1dpa_rep2	986044	0.89674517775985	884230.202059033
DMSO_1dpa_rep3	986582	1.03053303264892	1016705.34041684
DMSO_2dpa_rep1	985555	0.947335375329335	933651.115832703
DMSO_2dpa_rep2	986088	0.967238324195921	953782.104629707
DMSO_2dpa_rep3	985562	0.989298983591562	975015.484866467
LY_1dpa_rep1	986443	1.03067824538958	1016705.34041684
LY_1dpa_rep2	986551	1.01527461524584	1001620.1869454
LY_1dpa_rep3	986916	1.03018427142415	1016705.34041684
LY_2dpa_rep1	986594	1.02079826986328	1007113.44825749
LY_2dpa_rep2	985951	1.02474304044696	1010346.42547172
LY_2dpa_rep3	987083	1.02868955259412	1015401.96964327
