"","LY_1dpa_rep1","LY_1dpa_rep2","LY_1dpa_rep3","median_LY_1dpa"
"PladumEVm000001",135.466,124.424,129.01,129.01
"PladumEVm000002",10.083,11.748,11.283,11.283
"PladumEVm000003",24.927,26.823,26.863,26.823
"PladumEVm000006",55.231,43.711,55.093,55.093
"PladumEVm000010",26.657,23.117,29.242,26.657
"PladumEVm000011",44.326,39.05,47.962,44.326
"PladumEVm000015",16.711,12.213,17.07,16.711
"PladumEVm000018",15.806,9.631,18.467,15.806
"PladumEVm000023",22.891,22.652,27.715,22.891
"PladumEVm000025",24.415,32.557,36.156,32.557
"PladumEVm000032",33.695,38.29,45.087,38.29
"PladumEVm000034",10.872,10.038,14.145,10.872
"PladumEVm000035",17.222,14.06,19.97,17.222
"PladumEVm000037",14.247,9.987,15.022,14.247
"PladumEVm000038",12.409,12.624,15.195,12.624
"PladumEVm000042",11.944,9.79,11.781,11.781
"PladumEVm000046",21.205,17.539,21.7,21.205
"PladumEVm000050",161.513,148.298,202.764,161.513
"PladumEVm000051",16.349,14.092,18.452,16.349
"PladumEVm000055",15.151,19.423,21.468,19.423
"PladumEVm000057",119.893,105.362,130.65,119.893
"PladumEVm000066",102.043,90.97,100.633,100.633
"PladumEVm000067",20.63,38.41,30.331,30.331
"PladumEVm000070",39.711,31.466,37.342,37.342
"PladumEVm000080",29.096,30.382,35.491,30.382
"PladumEVm000083",34.817,31.238,37.315,34.817
"PladumEVm000091",37.745,28.927,38.826,37.745
"PladumEVm000092",23.858,21.128,22.682,22.682
"PladumEVm000093",12.954,11.352,12.771,12.771
"PladumEVm000096",18.601,22.879,24.624,22.879
"PladumEVm000099",16.245,15.449,20.846,16.245
"PladumEVm000100",12.731,10.844,14.041,12.731
"PladumEVm000101",23.878,24.357,19.561,23.878
"PladumEVm000102",22.596,24.138,20.711,22.596
"PladumEVm000103",46.776,38.242,43.852,43.852
"PladumEVm000105",24.376,35.971,48.397,35.971
"PladumEVm000106",21.941,20.796,29.556,21.941
"PladumEVm000117",44.617,36.434,46.395,44.617
"PladumEVm000118",11.627,7.983,10.457,10.457
"PladumEVm000120",17.58,17.291,18.991,17.58
"PladumEVm000121",14.185,11.345,14.785,14.185
"PladumEVm000122",20.543,15.528,19.217,19.217
"PladumEVm000147",10.509,9.495,13.449,10.509
"PladumEVm000153",20.472,18.993,22.514,20.472
"PladumEVm000154",438.92,444.3,475.889,444.3
"PladumEVm000159",14.659,13.245,16.399,14.659
"PladumEVm000163",137.168,133.511,125.316,133.511
"PladumEVm000169",10.921,12.017,13.997,12.017
"PladumEVm000178",10.747,8.917,13.246,10.747
"PladumEVm000188",13.34,12.263,15.918,13.34
"PladumEVm000191",44.186,48.837,59.437,48.837
"PladumEVm000195",23.314,17.932,24.48,23.314
"PladumEVm000198",17.157,18.326,23.116,18.326
"PladumEVm000201",26.218,33.176,31.147,31.147
"PladumEVm000202",22.741,20.707,17.117,20.707
"PladumEVm000203",23.888,18.201,22.884,22.884
"PladumEVm000206",57.03,60.7,75.648,60.7
"PladumEVm000213",27.899,22.419,29.106,27.899
"PladumEVm000218",14.294,10.47,10.285,10.47
"PladumEVm000219",19.367,21.431,30.339,21.431
"PladumEVm000223",37.495,28.948,36.345,36.345
"PladumEVm000228",31.984,30.577,36.923,31.984
"PladumEVm000230",47.744,42.325,43.955,43.955
"PladumEVm000231",472.354,429.426,485.725,472.354
"PladumEVm000235",32.088,26.144,29.791,29.791
"PladumEVm000241",42.371,35.45,40.006,40.006
"PladumEVm000243",28.352,24.157,28.932,28.352
"PladumEVm000246",36.348,31.913,40.916,36.348
"PladumEVm000252",13.106,10.531,15.51,13.106
"PladumEVm000259",11.381,10.346,11.303,11.303
"PladumEVm000268",24.693,23.526,26.563,24.693
"PladumEVm000270",21.459,16.054,21.578,21.459
"PladumEVm000273",14.311,13.546,15.566,14.311
"PladumEVm000283",26.454,24.229,26.254,26.254
"PladumEVm000284",18.94,16.148,21.205,18.94
"PladumEVm000296",12.554,18.693,17.375,17.375
"PladumEVm000302",12.056,11.53,13.639,12.056
"PladumEVm000304",40.638,31.61,39.516,39.516
"PladumEVm000310",55.993,46.908,52.403,52.403
"PladumEVm000313",18.268,16.33,20.428,18.268
"PladumEVm000319",22.741,21.701,18.374,21.701
"PladumEVm000323",13.562,11.293,13.622,13.562
"PladumEVm000326",11.346,13.559,14.5,13.559
"PladumEVm000334",22.4,17.062,20.489,20.489
"PladumEVm000340",26.729,23.067,26.841,26.729
"PladumEVm000348",26.66,21.108,30.351,26.66
"PladumEVm000353",30.462,30.739,31.352,30.739
"PladumEVm000359",13.619,10.526,12.87,12.87
"PladumEVm000366",10.177,17.533,19.155,17.533
"PladumEVm000368",13.539,11.369,12.855,12.855
"PladumEVm000375",18.316,16.914,19.222,18.316
"PladumEVm000376",16.772,14.504,17.48,16.772
"PladumEVm000378",15.722,10.68,14.496,14.496
"PladumEVm000379",30.691,28.985,34.475,30.691
"PladumEVm000387",36.1,36.722,39.614,36.722
"PladumEVm000389",50.696,57.842,54.247,54.247
"PladumEVm000392",12.764,8.467,13.284,12.764
"PladumEVm000395",13.242,11.808,11.947,11.947
"PladumEVm000402",13.008,13.108,15.715,13.108
"PladumEVm000404",55.211,47.3,56.303,55.211
"PladumEVm000406",10.671,9.926,16.434,10.671
"PladumEVm000411",20.098,16.191,21.932,20.098
"PladumEVm000415",47.478,48.933,52.138,48.933
"PladumEVm000420",37.973,28.61,27.668,28.61
"PladumEVm000421",22.637,21.947,25.188,22.637
"PladumEVm000422",33.516,21.533,26.887,26.887
"PladumEVm000424",12.785,13.959,12.202,12.785
"PladumEVm000425",11.491,10.483,10.707,10.707
"PladumEVm000431",19.925,21.142,29.178,21.142
"PladumEVm000438",51.739,50.619,47.981,50.619
"PladumEVm000442",14.083,13.629,19.094,14.083
"PladumEVm000449",23.59,22.53,24.322,23.59
"PladumEVm000451",16.235,16.794,20.005,16.794
"PladumEVm000454",26.584,27.566,29.827,27.566
"PladumEVm000456",15.083,15.423,16.926,15.423
"PladumEVm000471",19.807,11.294,17.795,17.795
"PladumEVm000472",32.56,30.299,30.459,30.459
"PladumEVm000474",20.995,16.925,20.664,20.664
"PladumEVm000479",21.453,18.358,22.544,21.453
"PladumEVm000492",198.753,172.206,222.23,198.753
"PladumEVm000495",78.415,81.74,80.812,80.812
"PladumEVm000508",57.08,57.882,62.668,57.882
"PladumEVm000512",53.244,53.015,54.959,53.244
"PladumEVm000515",33.191,30.944,43.73,33.191
"PladumEVm000529",69.207,58.56,59.218,59.218
