"","LY_2dpa_rep1","LY_2dpa_rep2","LY_2dpa_rep3","median_LY_2dpa"
"PladumEVm000319",19.557,22.985,21.397,21.397
"PladumEVm000323",12.476,11.656,8.772,11.656
"PladumEVm000326",11.111,13.419,14.611,13.419
"PladumEVm000333",7.682,6.313,5.429,6.313
"PladumEVm000334",20.811,19.216,10.7,19.216
"PladumEVm000336",9.531,8.052,5.825,8.052
"PladumEVm000340",28.32,28.156,21.231,28.156
"PladumEVm000348",23.258,21.468,13.996,21.468
"PladumEVm000353",44.022,43.249,45.83,44.022
"PladumEVm000355",8.288,8.279,5.402,8.279
"PladumEVm000359",12.525,11.11,8.112,11.11
"PladumEVm000361",9.991,11.474,9.302,9.991
"PladumEVm000364",5.427,5.158,3.735,5.158
"PladumEVm000366",10.496,12.993,14.973,12.993
"PladumEVm000367",11.483,10.545,8.704,10.545
"PladumEVm000368",12.722,13.316,11.927,12.722
"PladumEVm000374",7.779,6.36,4.24,6.36
"PladumEVm000375",15.118,17.622,15.52,15.52
"PladumEVm000376",15.754,13.6,11.859,13.6
"PladumEVm000378",10.901,9.779,4.106,9.779
"PladumEVm000379",33.307,38.239,29.22,33.307
"PladumEVm000380",8.521,11.16,9.442,9.442
"PladumEVm000384",11.603,9.741,9.463,9.741
"PladumEVm000387",41.481,43.134,50.038,43.134
"PladumEVm000389",79.246,81.283,67.722,79.246
"PladumEVm000391",9.661,9.399,7.056,9.399
"PladumEVm000392",10.089,8.174,4.481,8.174
"PladumEVm000395",14.15,15.228,11.133,14.15
"PladumEVm000397",6.874,6.943,4.818,6.874
"PladumEVm000399",5.87,5.159,4.099,5.159
"PladumEVm000400",6.953,7.074,5.525,6.953
"PladumEVm000402",17.636,24.5,21.308,21.308
"PladumEVm000403",6.361,6.464,0.932,6.361
"PladumEVm000404",52.452,50.969,41.498,50.969
"PladumEVm000406",13.908,14.581,11.068,13.908
"PladumEVm000411",16.229,17.287,10.151,16.229
"PladumEVm000415",47.945,51.261,35.442,47.945
"PladumEVm000416",7.222,4.756,5.909,5.909
"PladumEVm000420",15.007,20.17,14.601,15.007
"PladumEVm000421",21.115,20.516,16.361,20.516
"PladumEVm000422",29.136,38.133,34.656,34.656
"PladumEVm000424",46.444,51.178,38.737,46.444
"PladumEVm000425",12.982,15.516,12.892,12.982
"PladumEVm000429",5.998,6.702,5.182,5.998
"PladumEVm000431",19.857,23.612,23.672,23.612
"PladumEVm000434",7.356,8.265,5.813,7.356
"PladumEVm000437",8.531,8.732,7.103,8.531
"PladumEVm000438",47.293,50.607,46.83,47.293
"PladumEVm000439",8.648,6.739,4.991,6.739
"PladumEVm000442",12.349,16.519,21.036,16.519
"PladumEVm000445",8.271,7.34,4.631,7.34
"PladumEVm000449",20.33,23.684,20.947,20.947
"PladumEVm000450",9.138,10.352,7.76,9.138
"PladumEVm000451",18.826,13.467,8.497,13.467
"PladumEVm000454",27.534,31.908,25.567,27.534
"PladumEVm000455",15.228,13.726,12.396,13.726
"PladumEVm000456",14.441,14.998,13.398,14.441
"PladumEVm000458",9.604,9.883,7.781,9.604
"PladumEVm000471",23.986,8.435,2.759,8.435
"PladumEVm000472",30.084,32.408,35.509,32.408
