"","DMSO_2dpa_rep1","DMSO_2dpa_rep2","DMSO_2dpa_rep3","median_DMSO_2dpa"
"PladumEVm000001",115.255,123.207,113.91,115.255
"PladumEVm000002",18.752,15.102,14.487,15.102
"PladumEVm000003",31.783,31.379,29.363,31.379
"PladumEVm000006",48.504,53.276,48.257,48.504
"PladumEVm000010",22.015,27.119,24.977,24.977
"PladumEVm000011",37.731,44.98,41.785,41.785
"PladumEVm000015",15.021,12.666,15.331,15.021
"PladumEVm000018",25.68,19.376,69.757,25.68
"PladumEVm000023",33.026,36.211,36.145,36.145
"PladumEVm000024",13.993,9.91,10.881,10.881
"PladumEVm000025",25.76,37.316,24.363,25.76
"PladumEVm000032",28.269,53.466,51.644,51.644
"PladumEVm000034",10.031,9.114,11.313,10.031
"PladumEVm000035",17.109,15.597,17.434,17.109
"PladumEVm000037",10.575,11.478,11.67,11.478
"PladumEVm000038",14.778,17.226,17.141,17.141
"PladumEVm000042",13.873,14.538,13.879,13.879
"PladumEVm000046",16.405,17.257,20.106,17.257
"PladumEVm000050",170.897,165.453,174.456,170.897
"PladumEVm000051",15.102,13.739,14.429,14.429
"PladumEVm000055",19.188,28.102,19.05,19.188
"PladumEVm000057",103.179,96.835,97.962,97.962
"PladumEVm000066",101.464,108.575,92.071,101.464
"PladumEVm000067",21.28,22.446,27.225,22.446
"PladumEVm000070",39.301,38.097,33.438,38.097
"PladumEVm000080",31.388,33.9,35.999,33.9
"PladumEVm000083",27.274,30.397,29.46,29.46
"PladumEVm000091",32.905,40.038,32.611,32.905
"PladumEVm000092",23.051,27.703,21.582,23.051
"PladumEVm000093",15.582,13.649,11.069,13.649
"PladumEVm000096",19.374,25.363,25.501,25.363
"PladumEVm000099",15.921,17.119,18.824,17.119
"PladumEVm000101",22.345,24.213,23.47,23.47
"PladumEVm000102",17.183,23.455,18.75,18.75
"PladumEVm000103",32.838,34.664,33.816,33.816
"PladumEVm000105",7.678,16.827,16.168,16.168
"PladumEVm000106",17.463,20.389,18.037,18.037
"PladumEVm000115",14.674,17.088,16.539,16.539
"PladumEVm000117",75.702,59.966,64.686,64.686
"PladumEVm000120",21.023,18.794,20.401,20.401
"PladumEVm000121",11.536,11.704,12.044,11.704
"PladumEVm000122",23.756,20.826,19.564,20.826
"PladumEVm000125",10.969,8.875,13.008,10.969
"PladumEVm000140",21.613,15.787,17.981,17.981
"PladumEVm000153",28.232,24.03,26.387,26.387
"PladumEVm000154",175.501,173.699,202.794,175.501
"PladumEVm000158",12.08,13.373,13.66,13.373
"PladumEVm000159",16.167,14.289,16.533,16.167
"PladumEVm000163",156.306,188.837,143.673,156.306
"PladumEVm000169",10.294,12.132,12.735,12.132
"PladumEVm000178",11.674,8.993,11.355,11.355
"PladumEVm000188",15.653,15.354,16.447,15.653
"PladumEVm000191",50.899,43.154,53.697,50.899
"PladumEVm000195",19.213,18.938,19.743,19.213
"PladumEVm000198",23.01,30.482,27.043,27.043
"PladumEVm000201",32.895,44.453,35.394,35.394
"PladumEVm000202",19.261,21.859,19.653,19.653
"PladumEVm000203",13.579,14.514,16.243,14.514
"PladumEVm000206",51.653,51.137,60.107,51.653
"PladumEVm000213",20.764,20.418,22.253,20.764
"PladumEVm000219",14.262,17.196,21.307,17.196
"PladumEVm000223",34.457,35.7,35.857,35.7
"PladumEVm000228",35.32,36.326,38.155,36.326
"PladumEVm000230",40.18,42.972,41.613,41.613
"PladumEVm000231",236.5,264.537,303.995,264.537
"PladumEVm000235",24.371,21.217,21.053,21.217
"PladumEVm000241",47.706,46.811,43.142,46.811
"PladumEVm000243",31.927,32.358,30.71,31.927
"PladumEVm000246",34.123,34.88,35.82,34.88
"PladumEVm000252",12.086,11.249,11.202,11.249
"PladumEVm000259",12.601,13.979,12.423,12.601
"PladumEVm000268",19.01,24.167,20.612,20.612
"PladumEVm000270",19.365,18.185,20.266,19.365
"PladumEVm000273",16.478,15.046,16.427,16.427
"PladumEVm000283",22.718,23.557,22.466,22.718
"PladumEVm000284",19.429,18.386,20.87,19.429
"PladumEVm000296",9.84,10.916,10.464,10.464
"PladumEVm000302",9.482,13.313,11.553,11.553
"PladumEVm000304",33.231,35.684,32.314,33.231
"PladumEVm000310",45.981,49.27,46.812,46.812
"PladumEVm000313",15.551,15.154,17.882,15.551
"PladumEVm000319",19.626,23.543,17.663,19.626
"PladumEVm000323",14.197,13.991,14.427,14.197
"PladumEVm000326",11.23,12.509,12.33,12.33
"PladumEVm000334",20.499,22.112,21.273,21.273
"PladumEVm000336",9.327,10.183,10.573,10.183
"PladumEVm000340",23.591,28.458,22.344,23.591
"PladumEVm000348",19.969,22.039,21.668,21.668
"PladumEVm000353",39.064,40.254,31.363,39.064
"PladumEVm000359",12.383,12.242,13.474,12.383
"PladumEVm000366",6.722,12.469,16.005,12.469
"PladumEVm000368",12.312,11.447,11.616,11.616
"PladumEVm000375",14.648,15.268,16.295,15.268
"PladumEVm000376",13.855,14.222,16.319,14.222
"PladumEVm000378",10.428,11.109,11.116,11.109
"PladumEVm000379",27.321,30.793,27.771,27.771
"PladumEVm000387",36.537,41.224,38.298,38.298
"PladumEVm000389",116.517,108.542,103.326,108.542
