"","DMSO_2dpa_rep1","DMSO_2dpa_rep2","DMSO_2dpa_rep3","median_DMSO_2dpa"
"PladumEVm000165",2.146,2.091,5.128,2.146
"PladumEVm000166",1.684,1.66,1.686,1.684
"PladumEVm000169",10.294,12.132,12.735,12.132
"PladumEVm000170",2.802,2.643,3.305,2.802
"PladumEVm000172",7.612,7.542,7.217,7.542
"PladumEVm000175",3.837,6.127,7.286,6.127
"PladumEVm000178",11.674,8.993,11.355,11.355
"PladumEVm000180",8.077,6.875,9.281,8.077
"PladumEVm000182",1.303,1.872,3.768,1.872
"PladumEVm000186",3.164,4.125,2.878,3.164
"PladumEVm000188",15.653,15.354,16.447,15.653
"PladumEVm000190",1.978,2.62,2.674,2.62
"PladumEVm000191",50.899,43.154,53.697,50.899
"PladumEVm000192",7.207,6.203,7.43,7.207
"PladumEVm000193",5.343,7.164,7.28,7.164
"PladumEVm000195",19.213,18.938,19.743,19.213
"PladumEVm000198",23.01,30.482,27.043,27.043
"PladumEVm000201",32.895,44.453,35.394,35.394
"PladumEVm000202",19.261,21.859,19.653,19.653
"PladumEVm000203",13.579,14.514,16.243,14.514
"PladumEVm000205",6.007,6.595,6.408,6.408
"PladumEVm000206",51.653,51.137,60.107,51.653
"PladumEVm000213",20.764,20.418,22.253,20.764
"PladumEVm000218",4.12,5.495,5.144,5.144
"PladumEVm000219",14.262,17.196,21.307,17.196
"PladumEVm000220",3.81,4.171,4.27,4.171
"PladumEVm000221",1.733,2.085,1.912,1.912
"PladumEVm000223",34.457,35.7,35.857,35.7
"PladumEVm000224",2.235,1.923,2.175,2.175
"PladumEVm000225",2.311,2.042,2.083,2.083
"PladumEVm000226",3.556,4.042,4.149,4.042
"PladumEVm000227",1.405,1.035,2.486,1.405
"PladumEVm000228",35.32,36.326,38.155,36.326
"PladumEVm000229",1.245,1.392,3.404,1.392
"PladumEVm000230",40.18,42.972,41.613,41.613
"PladumEVm000231",236.5,264.537,303.995,264.537
"PladumEVm000233",2.225,1.999,5.373,2.225
"PladumEVm000235",24.371,21.217,21.053,21.217
"PladumEVm000236",6.014,8.944,7.654,7.654
"PladumEVm000238",6.28,7.113,6.135,6.28
"PladumEVm000239",2.764,2.337,2.714,2.714
"PladumEVm000240",3.108,2.605,2.71,2.71
"PladumEVm000241",47.706,46.811,43.142,46.811
"PladumEVm000243",31.927,32.358,30.71,31.927
"PladumEVm000246",34.123,34.88,35.82,34.88
"PladumEVm000247",2.034,1.817,5.411,2.034
"PladumEVm000251",7.736,7.337,8.056,7.736
"PladumEVm000252",12.086,11.249,11.202,11.249
"PladumEVm000254",6.315,5.062,5.782,5.782
"PladumEVm000258",8.028,8.364,7.763,8.028
"PladumEVm000259",12.601,13.979,12.423,12.601
"PladumEVm000260",2.961,3.82,3.439,3.439
"PladumEVm000266",8.597,8.994,9.233,8.994
"PladumEVm000268",19.01,24.167,20.612,20.612
"PladumEVm000270",19.365,18.185,20.266,19.365
"PladumEVm000272",9.306,9.847,8.949,9.306
"PladumEVm000273",16.478,15.046,16.427,16.427
"PladumEVm000277",1.565,1.542,2.483,1.565
"PladumEVm000278",4.158,5.381,5.928,5.381
"PladumEVm000283",22.718,23.557,22.466,22.718
"PladumEVm000284",19.429,18.386,20.87,19.429
"PladumEVm000285",8.808,6.893,7.77,7.77
"PladumEVm000286",4.347,5.003,6.821,5.003
"PladumEVm000290",2.921,2.836,4.378,2.921
"PladumEVm000293",6.06,7.064,6.521,6.521
"PladumEVm000294",3.6,2.694,3.245,3.245
"PladumEVm000296",9.84,10.916,10.464,10.464
"PladumEVm000298",2.435,2.33,2.701,2.435
"PladumEVm000300",3.268,4.629,4.062,4.062
"PladumEVm000301",1.449,1.408,1.866,1.449
"PladumEVm000302",9.482,13.313,11.553,11.553
"PladumEVm000304",33.231,35.684,32.314,33.231
"PladumEVm000305",5.058,4.269,4.905,4.905
"PladumEVm000307",2.563,2.513,2.958,2.563
"PladumEVm000308",2.159,1.884,2.62,2.159
"PladumEVm000310",45.981,49.27,46.812,46.812
"PladumEVm000312",5.881,6.285,5.693,5.881
"PladumEVm000313",15.551,15.154,17.882,15.551
"PladumEVm000314",8.52,7.797,7.49,7.797
"PladumEVm000316",5.271,4.557,4.877,4.877
"PladumEVm000318",3.84,6.093,6.153,6.093
"PladumEVm000319",19.626,23.543,17.663,19.626
"PladumEVm000323",14.197,13.991,14.427,14.197
"PladumEVm000324",2.261,1.667,1.94,1.94
"PladumEVm000325",2.077,2.526,2.36,2.36
"PladumEVm000326",11.23,12.509,12.33,12.33
"PladumEVm000331",2.312,1.765,2.377,2.312
"PladumEVm000332",1.268,1.176,3.468,1.268
"PladumEVm000333",6.1,5.722,5.785,5.785
"PladumEVm000334",20.499,22.112,21.273,21.273
"PladumEVm000336",9.327,10.183,10.573,10.183
"PladumEVm000337",1.064,1.498,1.405,1.405
"PladumEVm000338",1.257,1.119,3.28,1.257
"PladumEVm000340",23.591,28.458,22.344,23.591
"PladumEVm000341",1.851,2.151,2.518,2.151
"PladumEVm000343",2.691,3.862,4.334,3.862
"PladumEVm000348",19.969,22.039,21.668,21.668
"PladumEVm000350",3.138,4.217,3.554,3.554
"PladumEVm000351",2.022,2.622,2.594,2.594
"PladumEVm000352",1.106,1.084,1.626,1.106
"PladumEVm000353",39.064,40.254,31.363,39.064
"PladumEVm000355",7.47,7.74,7.719,7.719
"PladumEVm000359",12.383,12.242,13.474,12.383
"PladumEVm000361",7.069,7.361,7.454,7.361
"PladumEVm000363",2.37,2.493,2.283,2.37
"PladumEVm000364",4.308,4.44,1.916,4.308
"PladumEVm000366",6.722,12.469,16.005,12.469
"PladumEVm000367",10.686,9.272,9.355,9.355
"PladumEVm000368",12.312,11.447,11.616,11.616
"PladumEVm000369",3.879,3.862,3.268,3.862
"PladumEVm000374",7.34,5.867,5.812,5.867
"PladumEVm000375",14.648,15.268,16.295,15.268
"PladumEVm000376",13.855,14.222,16.319,14.222
"PladumEVm000378",10.428,11.109,11.116,11.109
"PladumEVm000379",27.321,30.793,27.771,27.771
"PladumEVm000380",8.599,10.97,8.601,8.601
"PladumEVm000381",1.68,1.604,4.253,1.68
"PladumEVm000382",2.607,2.06,2.005,2.06
"PladumEVm000383",2.672,3.308,3.107,3.107
"PladumEVm000384",9.234,7.69,8.386,8.386
"PladumEVm000387",36.537,41.224,38.298,38.298
"PladumEVm000389",116.517,108.542,103.326,108.542
"PladumEVm000390",2.033,2.706,2.568,2.568
"PladumEVm000391",8.727,7.381,9.788,8.727
"PladumEVm000392",8.485,8.503,9.515,8.503
"PladumEVm000393",4.419,4.056,3.54,4.056
"PladumEVm000394",1.255,1.19,2.841,1.255
"PladumEVm000395",13.533,16.132,12.428,13.533
"PladumEVm000397",8.009,8.087,7.491,8.009
"PladumEVm000399",5.33,5.657,5.884,5.657
"PladumEVm000400",6.525,6.801,6.987,6.801
"PladumEVm000402",17.413,18.377,16.232,17.413
"PladumEVm000403",5.652,6.856,7.157,6.856
"PladumEVm000404",42.424,44.739,46.632,44.739
"PladumEVm000405",1.403,1.477,1.504,1.477
"PladumEVm000406",12.909,13.324,12.711,12.909
"PladumEVm000411",16.537,16.217,18.437,16.537
"PladumEVm000414",2.835,3.282,3.276,3.276
"PladumEVm000415",46.689,49.287,44.964,46.689
"PladumEVm000416",7.336,5.551,5.964,5.964
"PladumEVm000417",3.482,3.741,3.96,3.741
"PladumEVm000419",2.63,3.031,2.423,2.63
"PladumEVm000420",13.785,15.603,14.668,14.668
"PladumEVm000421",21.554,19.81,25.078,21.554
"PladumEVm000422",23.299,28.115,23.605,23.605
"PladumEVm000423",5.817,5.474,4.217,5.474
"PladumEVm000424",44.918,44.887,38.739,44.887
"PladumEVm000425",12.963,13.695,12.154,12.963
"PladumEVm000429",5.761,5.891,6.713,5.891
"PladumEVm000431",15.464,18.642,18.898,18.642
"PladumEVm000434",6.224,8.377,8.004,8.004
"PladumEVm000436",1.493,1.415,1.896,1.493
"PladumEVm000437",8.796,7.939,8.217,8.217
"PladumEVm000438",46.478,49.85,36.916,46.478
"PladumEVm000439",6.67,6.421,6.772,6.67
"PladumEVm000441",6.44,3.694,8.726,6.44
"PladumEVm000442",18.242,36.198,32.248,32.248
"PladumEVm000443",1.643,1.339,4.141,1.643
"PladumEVm000444",2.757,2.328,2.781,2.757
"PladumEVm000445",7.175,7.812,8.758,7.812
"PladumEVm000448",2.232,2.004,4.811,2.232
"PladumEVm000449",19.309,23.271,23.181,23.181
"PladumEVm000450",8.54,9.487,10.817,9.487
"PladumEVm000451",16.878,16.324,19.056,16.878
"PladumEVm000454",25.621,43.111,30.781,30.781
"PladumEVm000455",11.859,11.439,10.223,11.439
"PladumEVm000456",14.495,15.169,15.402,15.169
"PladumEVm000457",1.848,1.98,2.158,1.98
"PladumEVm000458",9.071,7.604,7.91,7.91
"PladumEVm000459",1.181,2.239,1.96,1.96
"PladumEVm000460",4.658,4.042,5.43,4.658
"PladumEVm000468",2.687,2.305,3.107,2.687
"PladumEVm000470",6.376,5.525,6.951,6.376
"PladumEVm000471",31.201,12.106,19.262,19.262
"PladumEVm000472",29.844,31.99,27.209,29.844
"PladumEVm000474",19.988,18.951,19.502,19.502
"PladumEVm000477",2.223,2.741,2.279,2.279
"PladumEVm000478",11.517,11.548,10.542,11.517
"PladumEVm000479",16.842,16.861,17.452,16.861
"PladumEVm000481",2.277,2.044,2.475,2.277
"PladumEVm000484",4.538,4.149,3.569,4.149
"PladumEVm000486",8.145,7.146,11.742,8.145
"PladumEVm000489",4.869,3.896,3.934,3.934
"PladumEVm000491",7.389,5.271,9.637,7.389
"PladumEVm000492",172.031,162.21,176.583,172.031
"PladumEVm000494",3.744,4.122,2.981,3.744
"PladumEVm000495",66.681,82.864,80.412,80.412
"PladumEVm000497",4.606,4.471,3.914,4.471
"PladumEVm000499",3.222,2.902,3.224,3.222
"PladumEVm000500",1.117,1.053,2.724,1.117
"PladumEVm000501",2.664,1.757,2.641,2.641
"PladumEVm000502",6.868,6.975,7.097,6.975
"PladumEVm000504",5.244,4.625,7.499,5.244
"PladumEVm000505",5.69,7.68,6.194,6.194
"PladumEVm000506",19.145,17.431,15.33,17.431
"PladumEVm000507",1.547,1.539,1.374,1.539
"PladumEVm000508",57.87,68.402,59.251,59.251
"PladumEVm000511",3.047,2.853,3.37,3.047
"PladumEVm000512",17.158,15.426,17.43,17.158
"PladumEVm000515",28.891,28.393,36.278,28.891
"PladumEVm000516",5.549,4.941,4.85,4.941
"PladumEVm000520",4.632,3.704,5.027,4.632
"PladumEVm000521",6.299,5.462,5.343,5.462
"PladumEVm000523",1.391,1.7,1.866,1.7
"PladumEVm000526",11.709,11.608,9.249,11.608
"PladumEVm000528",5.537,4.984,4.682,4.984
"PladumEVm000529",71.575,72.67,65.527,71.575
"PladumEVm000530",28.044,22.318,31.637,28.044
"PladumEVm000531",2.967,3.103,3.17,3.103
"PladumEVm000532",2.399,1.904,2.453,2.399
"PladumEVm000533",3.901,5.064,5.741,5.064
"PladumEVm000534",3.299,2.665,3.508,3.299
"PladumEVm000538",0.993,1.051,2.724,1.051
"PladumEVm000539",3.715,3.622,3.782,3.715
"PladumEVm000542",11.764,15.491,15.047,15.047
"PladumEVm000543",2.947,3.333,2.926,2.947
"PladumEVm000544",3.682,5.197,6.22,5.197
"PladumEVm000548",43.839,43.745,37.538,43.745
"PladumEVm000552",3.68,3.919,3.48,3.68
"PladumEVm000553",0.753,1.097,1.148,1.097
"PladumEVm000554",3.288,2.528,2.629,2.629
"PladumEVm000555",9.687,11.394,12.36,11.394
"PladumEVm000556",5.764,4.253,5.001,5.001
"PladumEVm000557",1.419,1.299,3.456,1.419
"PladumEVm000558",19.852,22.615,16.928,19.852
"PladumEVm000561",8.963,9.386,10.013,9.386
"PladumEVm000563",4.757,3.939,4.316,4.316
"PladumEVm000564",13.848,10.186,10.164,10.186
"PladumEVm000565",5.375,5.728,5.215,5.375
"PladumEVm000566",5.636,5.432,6.442,5.636
"PladumEVm000567",5.805,5.891,5.49,5.805
"PladumEVm000570",1.002,1.008,1.147,1.008
"PladumEVm000571",11.004,9.622,12.092,11.004
"PladumEVm000572",1.19,1.795,1.654,1.654
"PladumEVm000573",10.139,6.569,8.238,8.238
"PladumEVm000574",3.914,4.475,4.932,4.475
"PladumEVm000576",39.936,46.413,39.946,39.946
"PladumEVm000579",15.786,17.385,17.013,17.013
"PladumEVm000580",6.925,7.627,7.822,7.627
"PladumEVm000584",16.833,15.831,16.765,16.765
"PladumEVm000587",7.429,7.033,7.575,7.429
"PladumEVm000588",1.199,0.957,3.3,1.199
"PladumEVm000589",22.535,23.417,18.821,22.535
"PladumEVm000592",33.677,33.648,30.069,33.648
"PladumEVm000594",1.235,0.782,1.196,1.196
"PladumEVm000596",4.071,3.032,3.557,3.557
"PladumEVm000598",1.602,1.762,2.036,1.762
"PladumEVm000599",18.851,23.643,19.168,19.168
"PladumEVm000601",8.042,9.753,8.765,8.765
"PladumEVm000606",5.496,6.013,5.66,5.66
"PladumEVm000607",2.003,1.997,2.081,2.003
"PladumEVm000610",14.173,17.249,15.807,15.807
"PladumEVm000612",4.278,4.757,5.259,4.757
"PladumEVm000613",1.563,1.906,1.761,1.761
"PladumEVm000614",2.541,2.887,2.463,2.541
"PladumEVm000615",1.905,2.199,1.928,1.928
"PladumEVm000616",17.762,20.725,20.437,20.437
"PladumEVm000617",6.045,4.37,5.004,5.004
"PladumEVm000618",3.592,3.723,3.157,3.592
"PladumEVm000619",20.024,25.087,22.586,22.586
"PladumEVm000620",24.079,26.161,20.659,24.079
"PladumEVm000621",51.621,54.315,46.094,51.621
"PladumEVm000622",1.69,1.527,1.867,1.69
"PladumEVm000626",19.577,20.488,19.889,19.889
"PladumEVm000627",42.007,38.218,47.736,42.007
"PladumEVm000628",10.722,15.632,10.632,10.722
"PladumEVm000629",17.161,23.312,18.072,18.072
"PladumEVm000631",13.089,14.125,14.497,14.125
"PladumEVm000634",219.352,283.719,352.041,283.719
"PladumEVm000635",1.646,1.822,0.698,1.646
"PladumEVm000636",7.358,7.959,7.28,7.358
"PladumEVm000637",23.169,22.412,22.056,22.412
"PladumEVm000641",17.299,18.614,16.687,17.299
"PladumEVm000644",1.718,1.839,2.221,1.839
"PladumEVm000647",29.393,25.886,30.183,29.393
"PladumEVm000650",12.736,13.886,14.506,13.886
"PladumEVm000651",5.669,4.292,3.645,4.292
"PladumEVm000652",8.479,10.823,8.594,8.594
"PladumEVm000653",3.776,4.507,4.137,4.137
"PladumEVm000654",4.734,4.441,4.823,4.734
"PladumEVm000656",6.77,5.749,6.117,6.117
"PladumEVm000657",4.365,4.302,4.012,4.302
"PladumEVm000658",1.737,1.138,1.533,1.533
"PladumEVm000661",6.474,7.809,9.059,7.809
"PladumEVm000663",12.816,13.191,12.847,12.847
"PladumEVm000665",46.239,50.049,43.103,46.239
"PladumEVm000666",7.452,6.929,7.793,7.452
"PladumEVm000667",15.72,15.515,12.466,15.515
"PladumEVm000668",3.167,3.449,3.683,3.449
"PladumEVm000669",24.184,32.335,27.526,27.526
"PladumEVm000672",0.938,1.104,1.517,1.104
"PladumEVm000674",2.473,2.666,2.58,2.58
"PladumEVm000675",28.174,44.472,33.292,33.292
"PladumEVm000676",20.066,22.083,24.993,22.083
"PladumEVm000679",1.651,1.948,2.637,1.948
"PladumEVm000680",17.082,15.353,18.094,17.082
"PladumEVm000683",7.162,7.131,8.257,7.162
"PladumEVm000686",4.048,4.117,5.005,4.117
"PladumEVm000687",13.571,12.848,13.611,13.571
"PladumEVm000688",4.505,5.45,6.054,5.45
"PladumEVm000689",2.343,3.286,5.696,3.286
"PladumEVm000691",21.28,15.35,23.83,21.28
"PladumEVm000692",10.668,8.534,8.966,8.966
"PladumEVm000693",1.092,0.836,2.688,1.092
"PladumEVm000694",3.27,3.822,3.464,3.464
"PladumEVm000698",6.059,7.429,7.868,7.429
"PladumEVm000699",0.903,1.345,4.771,1.345
"PladumEVm000700",7.961,9.676,8.508,8.508
"PladumEVm000701",48.652,51.826,49.373,49.373
"PladumEVm000702",3.206,3.347,3.472,3.347
"PladumEVm000704",3.919,4.537,3.92,3.92
"PladumEVm000705",7.291,11.012,10.484,10.484
"PladumEVm000706",14.954,15.744,13.293,14.954
"PladumEVm000707",6.294,6.131,6.221,6.221
"PladumEVm000710",6.765,9.561,9.449,9.449
"PladumEVm000712",28.103,24.801,28.08,28.08
"PladumEVm000713",4.065,4.087,10.337,4.087
"PladumEVm000714",7.096,9.87,9.63,9.63
"PladumEVm000716",4.663,7.731,7.342,7.342
"PladumEVm000717",2.457,2.339,2.693,2.457
"PladumEVm000718",3.22,2.263,2.288,2.288
"PladumEVm000720",1.893,1.239,1.336,1.336
"PladumEVm000721",8.864,9.774,9.777,9.774
"PladumEVm000722",5.383,5.905,5.519,5.519
"PladumEVm000723",13.634,13.035,13.514,13.514
"PladumEVm000724",3.099,2.132,2.517,2.517
"PladumEVm000726",1.425,1.766,1.73,1.73
"PladumEVm000727",3.429,3.016,2.771,3.016
"PladumEVm000728",23.288,22.792,23.737,23.288
"PladumEVm000733",9.568,9.213,10.548,9.568
"PladumEVm000734",19.224,20.299,21.144,20.299
"PladumEVm000736",6.553,5.905,7.564,6.553
"PladumEVm000739",4.2,3.194,3.384,3.384
"PladumEVm000740",20.423,22.304,25.012,22.304
"PladumEVm000741",4.436,3.762,4.439,4.436
"PladumEVm000742",9.777,9.563,9.834,9.777
"PladumEVm000743",4.522,4.417,4.964,4.522
"PladumEVm000745",19.75,25.745,20.307,20.307
"PladumEVm000748",4.697,5.712,5.836,5.712
"PladumEVm000750",15.681,13.01,15.536,15.536
"PladumEVm000751",14.704,21.188,16.44,16.44
"PladumEVm000753",116.297,118.703,92.477,116.297
"PladumEVm000756",12.877,13.733,14.1,13.733
"PladumEVm000757",3.219,3.513,3.434,3.434
"PladumEVm000758",6.649,8.654,20.32,8.654
"PladumEVm000759",3.818,4.69,5.151,4.69
"PladumEVm000762",9.479,10.679,9.309,9.479
"PladumEVm000763",4.776,7.865,4.968,4.968
"PladumEVm000764",6.996,6.389,6.438,6.438
"PladumEVm000765",69.308,70.772,77.424,70.772
"PladumEVm000767",13.894,12.705,13.666,13.666
"PladumEVm000768",17.177,11.799,15.396,15.396
"PladumEVm000770",4.162,3.384,4.601,4.162
"PladumEVm000771",9.854,9.916,9.079,9.854
"PladumEVm000773",94.003,105.229,93.408,94.003
"PladumEVm000774",1.423,1.407,4.161,1.423
"PladumEVm000776",1.083,0.701,2.51,1.083
"PladumEVm000777",17.61,15.979,15.624,15.979
"PladumEVm000778",18.212,18.541,16.137,18.212
"PladumEVm000779",3.605,3.416,2.916,3.416
"PladumEVm000780",81.22,86.556,80.015,81.22
"PladumEVm000782",1.169,0.794,2.27,1.169
"PladumEVm000783",9.933,8.601,10.479,9.933
"PladumEVm000786",4.26,4.109,5.043,4.26
"PladumEVm000790",19.258,19.951,18.517,19.258
"PladumEVm000793",15.667,16.182,17.948,16.182
"PladumEVm000795",25.81,28.356,29.326,28.356
"PladumEVm000796",8.405,5.224,6.746,6.746
"PladumEVm000797",1.447,1.543,2.089,1.543
"PladumEVm000798",71.359,84.362,78.367,78.367
"PladumEVm000799",4.235,4.248,5.174,4.248
"PladumEVm000800",1.685,1.683,2.075,1.685
"PladumEVm000802",3.474,3.611,2.692,3.474
"PladumEVm000803",5.88,6.327,7.621,6.327
"PladumEVm000806",0.929,1.114,2.486,1.114
"PladumEVm000807",5.665,6.48,6.31,6.31
"PladumEVm000809",4.211,3.947,5.178,4.211
"PladumEVm000810",7.975,8.276,8.152,8.152
"PladumEVm000811",4.708,3.965,5.938,4.708
"PladumEVm000812",1.134,1.151,2.777,1.151
"PladumEVm000813",19.557,21.111,18.682,19.557
"PladumEVm000814",8.211,8.706,10.576,8.706
"PladumEVm000815",21.067,20.201,18.416,20.201
"PladumEVm000816",20.105,20.376,17.503,20.105
"PladumEVm000817",9.09,11.205,12.435,11.205
"PladumEVm000818",4.765,5.107,5.394,5.107
"PladumEVm000820",0.657,1.3,2.501,1.3
"PladumEVm000821",808.667,710.448,791.44,791.44
"PladumEVm000823",4.181,4.133,4.191,4.181
"PladumEVm000825",11.783,14.032,12.491,12.491
"PladumEVm000826",3.481,3.607,3.867,3.607
"PladumEVm000828",14.991,18.836,15.134,15.134
"PladumEVm000830",20.735,26.757,18.546,20.735
"PladumEVm000831",5.237,8.321,7.639,7.639
"PladumEVm000833",5.797,6.617,6.789,6.617
"PladumEVm000835",28.233,32.405,29.365,29.365
"PladumEVm000836",0.852,2.491,1.674,1.674
"PladumEVm000838",6.535,5.796,4.636,5.796
"PladumEVm000840",2.655,2.766,3.038,2.766
"PladumEVm000841",5.439,5.755,5.493,5.493
"PladumEVm000842",7.779,8.513,7.446,7.779
"PladumEVm000843",1.79,2.041,2.113,2.041
"PladumEVm000845",5.881,5.573,6.004,5.881
"PladumEVm000846",5.214,4.556,3.876,4.556
"PladumEVm000847",5.535,6.146,5.998,5.998
"PladumEVm000848",0.996,1.428,1.017,1.017
"PladumEVm000849",8.439,8.597,8.024,8.439
"PladumEVm000852",8.335,10.917,8.461,8.461
"PladumEVm000854",11.772,11.661,12.976,11.772
"PladumEVm000855",10.586,10.135,11.405,10.586
"PladumEVm000857",4.982,4.047,4.26,4.26
"PladumEVm000858",2.218,2.072,2.275,2.218
"PladumEVm000859",13.208,11.849,12.876,12.876
"PladumEVm000860",4.818,4.593,4.5,4.593
"PladumEVm000862",14.305,11.292,12.731,12.731
"PladumEVm000863",160.418,172.866,142.065,160.418
"PladumEVm000864",11.879,9.476,9.85,9.85
"PladumEVm000866",2.777,3.311,3.58,3.311
"PladumEVm000868",22.838,32.239,20.811,22.838
"PladumEVm000869",2.288,2.182,1.972,2.182
"PladumEVm000871",3.025,3.114,3.243,3.114
"PladumEVm000872",18.063,17.75,18.327,18.063
"PladumEVm000873",8.281,8.27,8.869,8.281
"PladumEVm000874",15.404,14.855,17.769,15.404
"PladumEVm000876",3.286,4.489,4.114,4.114
"PladumEVm000878",2.649,2.627,2.497,2.627
"PladumEVm000879",8.09,7.256,7.536,7.536
"PladumEVm000880",6.303,6.442,5.909,6.303
"PladumEVm000882",7.875,9.334,8.771,8.771
"PladumEVm000885",7.755,8.474,9.538,8.474
"PladumEVm000887",8.555,8.104,9.09,8.555
"PladumEVm000889",2.455,2.766,2.971,2.766
"PladumEVm000890",8.522,8.533,9.156,8.533
"PladumEVm000892",37.025,40.735,39.965,39.965
"PladumEVm000896",2.23,1.925,4.616,2.23
"PladumEVm000898",5.345,5.689,6.361,5.689
