"","DMSO_2dpa_rep1","DMSO_2dpa_rep2","DMSO_2dpa_rep3","median_DMSO_2dpa"
"PladumEVm000001",115.255,123.207,113.91,115.255
"PladumEVm000002",18.752,15.102,14.487,15.102
"PladumEVm000003",31.783,31.379,29.363,31.379
"PladumEVm000004",8.259,7.394,6.632,7.394
"PladumEVm000006",48.504,53.276,48.257,48.504
"PladumEVm000007",2.573,2.858,7.805,2.858
"PladumEVm000008",4.315,6.288,4.439,4.439
"PladumEVm000010",22.015,27.119,24.977,24.977
"PladumEVm000011",37.731,44.98,41.785,41.785
"PladumEVm000012",2.58,1.864,1.512,1.864
"PladumEVm000014",1.254,1.889,2.172,1.889
"PladumEVm000015",15.021,12.666,15.331,15.021
"PladumEVm000016",4.827,4.014,4.345,4.345
"PladumEVm000017",2.631,1.812,3.202,2.631
"PladumEVm000018",25.68,19.376,69.757,25.68
"PladumEVm000019",5.489,6.007,14.23,6.007
"PladumEVm000020",1.93,3.075,3.314,3.075
"PladumEVm000023",33.026,36.211,36.145,36.145
"PladumEVm000024",13.993,9.91,10.881,10.881
"PladumEVm000025",25.76,37.316,24.363,25.76
"PladumEVm000026",6.121,6.35,6.3,6.3
"PladumEVm000030",2.382,2.252,2.159,2.252
"PladumEVm000032",28.269,53.466,51.644,51.644
"PladumEVm000034",10.031,9.114,11.313,10.031
"PladumEVm000035",17.109,15.597,17.434,17.109
"PladumEVm000037",10.575,11.478,11.67,11.478
"PladumEVm000038",14.778,17.226,17.141,17.141
"PladumEVm000040",6.584,6.7,7.169,6.7
"PladumEVm000042",13.873,14.538,13.879,13.879
"PladumEVm000046",16.405,17.257,20.106,17.257
"PladumEVm000048",7.585,8.437,7.877,7.877
"PladumEVm000049",5.922,4.997,5.782,5.782
"PladumEVm000050",170.897,165.453,174.456,170.897
"PladumEVm000051",15.102,13.739,14.429,14.429
"PladumEVm000055",19.188,28.102,19.05,19.188
"PladumEVm000057",103.179,96.835,97.962,97.962
"PladumEVm000058",2.02,3.066,2.737,2.737
"PladumEVm000059",2.833,2.621,2.528,2.621
"PladumEVm000060",1.399,1.813,1.539,1.539
"PladumEVm000062",1.286,1.481,1.132,1.286
"PladumEVm000064",8.234,8.072,8.895,8.234
"PladumEVm000066",101.464,108.575,92.071,101.464
"PladumEVm000067",21.28,22.446,27.225,22.446
"PladumEVm000069",2.777,3.405,2.8,2.8
"PladumEVm000070",39.301,38.097,33.438,38.097
"PladumEVm000077",6.299,5.262,17.613,6.299
"PladumEVm000079",3.935,3.82,4.444,3.935
"PladumEVm000080",31.388,33.9,35.999,33.9
"PladumEVm000083",27.274,30.397,29.46,29.46
"PladumEVm000085",4.928,5.372,5.449,5.372
"PladumEVm000086",7.685,7.359,8.03,7.685
"PladumEVm000091",32.905,40.038,32.611,32.905
"PladumEVm000092",23.051,27.703,21.582,23.051
"PladumEVm000093",15.582,13.649,11.069,13.649
"PladumEVm000095",6.438,6.086,7.026,6.438
"PladumEVm000096",19.374,25.363,25.501,25.363
"PladumEVm000099",15.921,17.119,18.824,17.119
"PladumEVm000100",10.481,8.768,9.048,9.048
"PladumEVm000101",22.345,24.213,23.47,23.47
"PladumEVm000102",17.183,23.455,18.75,18.75
"PladumEVm000103",32.838,34.664,33.816,33.816
"PladumEVm000104",1.284,1.681,1.119,1.284
"PladumEVm000105",7.678,16.827,16.168,16.168
"PladumEVm000106",17.463,20.389,18.037,18.037
"PladumEVm000107",7.12,7.074,7.601,7.12
"PladumEVm000110",5.696,5.319,5.663,5.663
"PladumEVm000115",14.674,17.088,16.539,16.539
"PladumEVm000116",5.126,7.375,6.563,6.563
"PladumEVm000117",75.702,59.966,64.686,64.686
"PladumEVm000118",8.917,8.595,9.123,8.917
"PladumEVm000120",21.023,18.794,20.401,20.401
"PladumEVm000121",11.536,11.704,12.044,11.704
"PladumEVm000122",23.756,20.826,19.564,20.826
"PladumEVm000123",4.03,3.792,3.967,3.967
"PladumEVm000124",5.71,3.827,6.069,5.71
"PladumEVm000125",10.969,8.875,13.008,10.969
"PladumEVm000126",2.062,1.798,2.604,2.062
"PladumEVm000133",3.271,3.606,3.474,3.474
"PladumEVm000134",11.948,7.915,6.999,7.915
"PladumEVm000136",7.995,9.532,7.834,7.995
"PladumEVm000138",4.669,4.514,4.913,4.669
"PladumEVm000140",21.613,15.787,17.981,17.981
"PladumEVm000141",3.427,2.648,3.575,3.427
"PladumEVm000143",6.68,7.459,5.396,6.68
"PladumEVm000144",8.443,8.274,8.393,8.393
"PladumEVm000146",1.771,1.565,1.835,1.771
"PladumEVm000147",8.527,9.399,9.069,9.069
"PladumEVm000150",6.32,6.413,6.543,6.413
"PladumEVm000153",28.232,24.03,26.387,26.387
"PladumEVm000154",175.501,173.699,202.794,175.501
"PladumEVm000155",3.705,3.297,3.665,3.665
"PladumEVm000156",7.81,10.22,8.008,8.008
"PladumEVm000157",1.851,1.507,4.986,1.851
"PladumEVm000158",12.08,13.373,13.66,13.373
"PladumEVm000159",16.167,14.289,16.533,16.167
"PladumEVm000161",1.029,1.011,2.412,1.029
"PladumEVm000162",2.166,2.308,2.118,2.166
"PladumEVm000163",156.306,188.837,143.673,156.306
