""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm079596"	-0.676995905885844	0.674091569160145	0.180527222925956	0.670920544491516	0.839910322756218
"PladumEVm072070"	-0.166565953084629	1.48441086574185	0.180486377855406	0.670955587903097	0.839910322756218
"PladumEVm153278"	0.158376527849674	1.43422941542899	0.180473249754272	0.670966852274694	0.839910322756218
"PladumEVm001330"	-0.0864686778739312	4.96885247772	0.180451032831515	0.670985916276126	0.839910322756218
"PladumEVm020853"	-0.147254289656316	2.11293567203631	0.180383343519822	0.671044007980192	0.839952946470101
"PladumEVm048227"	0.492358216221344	2.31242397898615	0.180343329901653	0.671078354153628	0.83996584566073
"PladumEVm066309"	-0.100120157435835	4.36377002286579	0.180297683563349	0.671117540732654	0.83998480228043
"PladumEVm074731"	-0.278221049722393	1.7874853192885	0.18026953391419	0.671141709630328	0.839984961770098
"PladumEVm041676"	-0.108411146197088	2.36952859303555	0.180141389704226	0.671251760623881	0.840079143274051
"PladumEVm091086"	0.140374227467903	0.59811591130116	0.18012592109255	0.671265048282005	0.840079143274051
"PladumEVm013441"	-0.09169852625924	2.02205861843895	0.180049259631747	0.671330911014139	0.840131476769333
"PladumEVm005646"	0.10901277888055	1.49620963446858	0.18001608475962	0.671359417918716	0.840137059550931
"PladumEVm010623"	0.0709058829305918	2.92415546479587	0.179734702248074	0.671601332408157	0.840404508182501
"PladumEVm129727"	-0.241525791944473	1.69085700662549	0.17964900732357	0.671675051738854	0.840404508182501
"PladumEVm061435"	0.110235630982408	2.31007943704263	0.179634043415946	0.67168792661488	0.840404508182501
"PladumEVm009586"	0.267675556768741	0.67348624540202	0.179602574559054	0.671715004336048	0.840404508182501
"PladumEVm002048"	-0.0866201822606418	3.61125996421239	0.17956131284337	0.67175051266964	0.840404508182501
"PladumEVm130886"	-0.508873737654781	-0.288060320324365	0.179550319573812	0.671759973889924	0.840404508182501
"PladumEVm010382"	-0.505888303135816	-0.391115291482594	0.17954849265503	0.671761546237885	0.840404508182501
"PladumEVm010750"	-0.0778903171345674	2.54942367965757	0.179493442111696	0.671808930225298	0.840404508182501
"PladumEVm062315"	-0.20701102804678	2.22209156716371	0.179484361140023	0.671816747368486	0.840404508182501
"PladumEVm005691"	0.0797260605935505	2.61874255733991	0.179472957485845	0.67182656426924	0.840404508182501
"PladumEVm110392"	0.162425631667941	-0.201460899677177	0.17945999183913	0.671837726267078	0.840404508182501
"PladumEVm065219"	0.129031172402596	3.74978793277624	0.179378719680926	0.671907703505118	0.840422360609437
"PladumEVm018797"	-0.221791154001725	0.373167795785754	0.179377252005069	0.67190896738037	0.840422360609437
"PladumEVm027825"	-0.659691230625817	-0.231440761591046	0.179359610286392	0.671924159857581	0.840422360609437
"PladumEVm011201"	0.0745237793998415	6.68185087452796	0.179246845691281	0.672021289900672	0.840453538242937
"PladumEVm049063"	-0.245506614893632	0.0781604130240892	0.179226995733387	0.672038391436556	0.840453538242937
"PladumEVm063326"	-0.207302443669398	1.69065408226512	0.179219222850723	0.672045088391395	0.840453538242937
"PladumEVm014113"	0.0758358018309321	4.06530076141066	0.17921897011529	0.672045306145888	0.840453538242937
"PladumEVm112040"	0.190191763183709	0.636413293603838	0.179158575037571	0.672097347173921	0.840488536200638
"PladumEVm000898"	0.0984637420307427	2.62901496369513	0.179051484675301	0.672189649873862	0.840573878917068
"PladumEVm042748"	0.12294859887525	3.66558610640212	0.178908519593378	0.672312924241942	0.840658250683085
"PladumEVm064377"	-0.109086735180006	2.23374316460671	0.178890121302099	0.672328792736124	0.840658250683085
"PladumEVm112888"	0.116100565148827	4.467105072857	0.178889530328968	0.672329302465366	0.840658250683085
"PladumEVm022134"	0.159808589647058	0.602857291729926	0.178760017959766	0.672441034105277	0.840745680464729
"PladumEVm079022"	-0.0891690401426922	4.05132498897483	0.178752695999989	0.672447352259276	0.840745680464729
"PladumEVm117342"	-0.210155686675834	2.20622962417657	0.178687957753088	0.672503221838628	0.840785445781859
"PladumEVm169808"	0.124995919957607	2.4214836764681	0.17848909328614	0.672674917963693	0.840970013194026
"PladumEVm046788"	-0.192105085590819	0.413325003627897	0.178387233581968	0.6727629055196	0.841022039288574
"PladumEVm054710"	0.0789918061893435	3.5208756536362	0.178380513977692	0.672768711029931	0.841022039288574
"PladumEVm038073"	0.130861460859064	1.33693412897641	0.178357325536872	0.672788746046414	0.841022039288574
"PladumEVm016325"	0.111601368984349	1.34762816566328	0.178188129868307	0.672934979061568	0.841167780147057
"PladumEVm108058"	0.149673161198001	1.42652582520707	0.178166725445529	0.672953484377645	0.841167780147057
"PladumEVm007943"	-0.0843769731103328	2.7054523613524	0.178086983886989	0.673022436927963	0.841186098180867
"PladumEVm097566"	0.201342566964985	0.0478895082944159	0.178084631752171	0.673024471095783	0.841186098180867
"PladumEVm093867"	-0.141929976089179	0.701963486306709	0.178060189661892	0.67304560998478	0.841186098180867
"PladumEVm021279"	-0.125834389777359	1.35732881864122	0.178038415867832	0.673064442621263	0.841186098180867
"PladumEVm029737"	-0.07974151517469	10.767220039209	0.177994635268811	0.673102313537165	0.841203338436707
"PladumEVm081023"	0.0798444002914852	4.31412526915537	0.177919544664641	0.673167280883578	0.841250880239902
"PladumEVm008251"	0.0760388799387579	2.63958929703838	0.17789501133546	0.673188510278698	0.841250880239902
"PladumEVm088273"	0.264580556566093	1.79746303887579	0.177853872994728	0.673224112337871	0.841265281150675
"PladumEVm115312"	-0.122192690449294	0.560787585255518	0.177733819105903	0.673328037449519	0.841327877470711
"PladumEVm009838"	-0.0836512863762668	3.83193428386843	0.177721371997867	0.673338814701452	0.841327877470711
"PladumEVm080684"	0.295347188882201	0.0775113202598403	0.177712559887819	0.673346444881465	0.841327877470711
"PladumEVm015453"	0.0720425969814667	4.80072876519881	0.17768236458629	0.673372591908183	0.841330460187384
"PladumEVm112936"	-0.145886813596672	1.05604580267255	0.1776463641279	0.673403769215748	0.841339327467514
"PladumEVm103283"	0.111940717687309	5.15457100504101	0.177599685395247	0.67344419971858	0.841359754486429
"PladumEVm043194"	-0.0864532795811073	1.64181201860047	0.177511596155213	0.673520514730842	0.841425010340075
"PladumEVm002725"	0.0900542230064138	3.58535877764668	0.177378798611002	0.673635604377954	0.841538700706569
"PladumEVm047989"	0.20938946862883	0.141021982020024	0.177246237358895	0.673750539840854	0.841589137482428
"PladumEVm011536"	0.145666984656601	0.76634237302182	0.177241622997525	0.673754541572417	0.841589137482428
"PladumEVm146167"	0.287156307942528	1.0083298829734	0.177209246002608	0.673782621731533	0.841589137482428
"PladumEVm017560"	0.10486575325622	1.16690153740284	0.177174099468714	0.673813107295347	0.841589137482428
"PladumEVm076423"	-0.294522806182407	-0.199644778371364	0.17715942739412	0.673825834680672	0.841589137482428
"PladumEVm079226"	0.246138576024473	0.040087382764434	0.177146784603389	0.673836802248312	0.841589137482428
"PladumEVm071007"	0.146189852913822	0.830587457759647	0.177137807941703	0.673844589744152	0.841589137482428
"PladumEVm008073"	-0.10151352417899	3.24479949348002	0.176951165761158	0.674006559510978	0.841761337673508
"PladumEVm102160"	-0.145449668941885	2.07943735879355	0.176875983879312	0.674071831430851	0.84180787425018
"PladumEVm123829"	0.121539747856026	2.32199973087749	0.17683050914847	0.674111319917591	0.84180787425018
"PladumEVm100887"	0.127890826275385	1.96845474692163	0.176825001742392	0.67411610274037	0.84180787425018
"PladumEVm026179"	0.0666751110006476	3.50260416739243	0.176697427020447	0.674226917601344	0.841860667386177
"PladumEVm092390"	0.149725763835542	1.02675341392218	0.176693981477458	0.67422991114612	0.841860667386177
"PladumEVm017566"	-0.068047754648018	4.54480493025321	0.176693114122085	0.674230664724234	0.841860667386177
"PladumEVm030199"	0.132279841877983	2.09749193050985	0.176587415708592	0.67432251421232	0.841927486951393
"PladumEVm072756"	0.128570858155578	1.63030206100031	0.176576072158437	0.674332373417893	0.841927486951393
"PladumEVm101915"	-0.203384577781647	2.02582402664213	0.176454703352752	0.674437884004219	0.842029130935266
"PladumEVm077962"	-0.161172999842912	0.663482047987416	0.17640804559691	0.674478456751711	0.84204969629272
"PladumEVm085681"	-0.426797120419557	0.0343199836048614	0.176259107573031	0.674608012833848	0.842171419105589
"PladumEVm102006"	-0.329634857569892	0.490334355946892	0.176240544942807	0.674624164341487	0.842171419105589
"PladumEVm055469"	-0.0810186851678395	3.72763608292529	0.176207813165369	0.674652646986262	0.842176884956698
"PladumEVm022245"	-0.472410720522169	0.504307278079996	0.176166874203329	0.674688275765693	0.842181698856562
"PladumEVm026494"	-0.0869343808197538	7.13762593827842	0.176105497199906	0.674741700696524	0.842181698856562
"PladumEVm034296"	0.380704545677243	-0.36564998286124	0.176077335758631	0.67476621717481	0.842181698856562
"PladumEVm163482"	-0.0903671452639315	3.90768101504913	0.176072812562501	0.674770155144134	0.842181698856562
"PladumEVm004787"	0.142960103355872	1.76873308830667	0.176064921888635	0.674777025037654	0.842181698856562
"PladumEVm038584"	-0.0791338841713403	7.53279841487303	0.175987084387685	0.67484480276118	0.842236205167811
"PladumEVm005165"	-0.227577030902805	1.09063447672898	0.175869206652855	0.674947479456101	0.842322974933778
"PladumEVm015173"	0.145249992964885	1.84302193252008	0.175851915600775	0.674962544126076	0.842322974933778
"PladumEVm110448"	0.123194958319853	0.746291914325271	0.175570394884094	0.675207939066929	0.842599120760749
"PladumEVm042032"	-0.118058444328882	3.21082031996005	0.175363561852858	0.675388377943697	0.842794190398758
"PladumEVm005615"	0.12506743335858	0.744707601693215	0.175330918609198	0.675416866978528	0.842799639834386
"PladumEVm011279"	-0.161207602606247	0.381577607539766	0.175257060959147	0.675481336943584	0.842845065323229
"PladumEVm054128"	0.0993702536649551	2.49817220784976	0.175216025032572	0.675517163893814	0.842845065323229
"PladumEVm012685"	-0.367260366542986	0.751353273983835	0.175185869620075	0.675543494612459	0.842845065323229
"PladumEVm072140"	-0.175900251272959	0.350492372183368	0.175178689855031	0.675549764140694	0.842845065323229
"PladumEVm041562"	-0.323624205514644	0.0867688554776702	0.175144592175085	0.675579541043728	0.842852118711901
"PladumEVm030755"	0.0682683864033106	3.86759696132507	0.17508491626869	0.675631663159491	0.842860559841647
"PladumEVm021332"	-0.149147392920469	0.945309613157243	0.175067920142297	0.675646509821796	0.842860559841647
"PladumEVm055466"	0.116045659573192	0.979617217184861	0.175053990699274	0.675658678269122	0.842860559841647
"PladumEVm003657"	-0.118046768872808	0.927803697892633	0.174993481778703	0.675711544101733	0.842861945958071
"PladumEVm094383"	-0.269775834487725	0.553523228580271	0.1749677215254	0.675734053748906	0.842861945958071
"PladumEVm055209"	0.319896768093281	0.409951804561602	0.174956499494835	0.675743860315213	0.842861945958071
"PladumEVm077140"	-0.205984519968807	0.492851261088566	0.174942282432552	0.675756284672643	0.842861945958071
"PladumEVm017746"	0.15974945627701	0.368366966518227	0.174880310234817	0.675810449396203	0.842874923203147
"PladumEVm039396"	-0.378444046994851	0.269715099291667	0.174875175868635	0.675814937422736	0.842874923203147
"PladumEVm037886"	-0.21780197672601	0.312472877634463	0.174801332121476	0.675879493914364	0.842909203879354
"PladumEVm025452"	-0.103635170279709	2.19645132875144	0.174782319169382	0.67589611821936	0.842909203879354
"PladumEVm118859"	-0.131966553158532	2.17163909362154	0.174760955615909	0.675914799080908	0.842909203879354
"PladumEVm090132"	0.247288486525137	-0.0345860150377619	0.17467494740905	0.675990020526821	0.84291387095658
"PladumEVm051676"	0.262488718264075	0.280672448569084	0.174660999818893	0.676002220923006	0.84291387095658
"PladumEVm118948"	0.116064608445367	0.584092506789058	0.174658527875065	0.676004383269784	0.84291387095658
"PladumEVm064811"	0.166153238651561	0.313281592667381	0.174625632354962	0.676033160522458	0.84291387095658
"PladumEVm061267"	0.0929807187660337	4.86777758967923	0.174618765576849	0.676039168034153	0.84291387095658
"PladumEVm039551"	-0.197608661136021	5.59770280897841	0.17455908705201	0.676091384598848	0.842948895068306
