""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm011728"	0.0924821254858126	1.40392751056501	0.144665430278307	0.703686300114048	0.885499594647421
"PladumEVm060870"	-0.120533093555157	4.19746296787362	0.144618003474942	0.703732578540862	0.885499594647421
"PladumEVm072784"	0.149479409085822	1.34550245476687	0.144601602748772	0.703748584166561	0.885499594647421
"PladumEVm005969"	-0.0999937614646837	5.19033085131316	0.144593363145145	0.703756625666722	0.885499594647421
"PladumEVm049825"	-0.240106341425337	0.0566338749651501	0.144507779870363	0.703840166789379	0.885562386598666
"PladumEVm063636"	-0.264896572311876	0.0880126678061461	0.14444108261495	0.703905292175509	0.885562386598666
"PladumEVm142973"	0.171750307488863	2.02795769675867	0.144436644470481	0.7039096263358	0.885562386598666
"PladumEVm103217"	-0.18062474140561	0.042936101767766	0.144418912040791	0.703926944061392	0.885562386598666
"PladumEVm003049"	0.0616603825829997	3.20820847156923	0.144366132233265	0.703978496721648	0.885562386598666
"PladumEVm010649"	0.0734766992612732	4.5054900165138	0.144333937983907	0.704009947739949	0.885562386598666
"PladumEVm029826"	-0.0802787402051175	4.81159314521611	0.144316077686043	0.704027397449054	0.885562386598666
"PladumEVm091539"	0.144290141813041	2.46817481426716	0.144306801121801	0.704036461242758	0.885562386598666
"PladumEVm005087"	-0.246638070604848	0.399618264178931	0.144289567688766	0.704053300288667	0.885562386598666
"PladumEVm118719"	0.212003382025168	0.231911256549616	0.144282722083645	0.704059989551439	0.885562386598666
"PladumEVm000809"	-0.166914999324115	2.17348713064441	0.144249014137937	0.704092930311862	0.885571938952667
"PladumEVm102215"	-0.136672759482977	0.690885914288602	0.144143113562199	0.704196449275363	0.885639381917459
"PladumEVm161713"	-0.234952016271925	0.870785430900658	0.144142296014731	0.704197248606111	0.885639381917459
"PladumEVm012514"	-0.114367044036797	0.887254888194737	0.144075729665156	0.704262340418534	0.885672105168546
"PladumEVm006652"	-0.0879011269393926	1.47200365137278	0.144063842583618	0.704273965994954	0.885672105168546
"PladumEVm127700"	-0.207122324697054	0.36290856147125	0.144023628845344	0.704313299135705	0.885689690415433
"PladumEVm022441"	-0.201684693639019	-0.0797927929367673	0.143945725093724	0.70438951483333	0.885753653365546
"PladumEVm041129"	0.0786799892598613	1.83179437725074	0.143749568238827	0.704581525821643	0.885910795072284
"PladumEVm102055"	0.156612499853803	1.87811342135604	0.143746352419616	0.704584674921068	0.885910795072284
"PladumEVm016549"	-0.107508590267422	2.365576849481	0.143737999755988	0.704592854477132	0.885910795072284
"PladumEVm013258"	0.0664884432589143	4.35949437188837	0.143664006051095	0.70466532654729	0.885910795072284
"PladumEVm012285"	-0.0631363197669549	5.19670203065574	0.14366029434772	0.704668962483933	0.885910795072284
"PladumEVm021988"	-0.140629380124631	1.08466909432888	0.143609612040032	0.704718615592894	0.885910795072284
"PladumEVm079033"	-0.0757943641251866	2.88842358342991	0.143598967766958	0.704729044987298	0.885910795072284
"PladumEVm014766"	0.0826024299089558	3.33521710633134	0.143597249029913	0.704730729069209	0.885910795072284
"PladumEVm042481"	0.0671857989408658	3.64104445285738	0.143585048370659	0.704742684056185	0.885910795072284
"PladumEVm109140"	0.148211870360531	1.0954237249471	0.14355572802106	0.704771416387107	0.885915039293007
"PladumEVm009854"	-0.152650849014112	0.481057558802153	0.143526744603911	0.704799821840738	0.885918872330319
"PladumEVm013032"	-0.124658475986928	-0.116898424558174	0.143470198302676	0.704855249984656	0.885947201194183
"PladumEVm100508"	-0.102674945076353	2.08579163732237	0.143452018412276	0.704873073035746	0.885947201194183
"PladumEVm014359"	-0.0644721393965423	2.63778178680123	0.143347602259513	0.704975464699439	0.886044021768182
"PladumEVm100236"	0.164881208019159	0.0382915207043138	0.143286449029207	0.705035452050055	0.88608754169701
"PladumEVm010313"	0.090208171216188	1.79100770243997	0.143189240350383	0.705130837585464	0.886133714307854
"PladumEVm010180"	-0.0956762956606802	2.06590193067156	0.143186973143689	0.705133062712473	0.886133714307854
"PladumEVm074049"	-0.0963107571313858	1.72807149659477	0.143162021003852	0.705157553067545	0.886133714307854
