""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm061919"	-4.8331287186622	6.18850165102868	458.627836114969	9.56090018710044e-102	3.34048291637102e-97
"PladumEVm053942"	-6.4022289341546	4.61449980505082	345.095585564116	4.95640290639066e-77	8.65858805731917e-73
"PladumEVm071382"	-3.89093832934421	5.10792351364709	318.682923438131	2.80408291819987e-71	3.26572843596617e-67
"PladumEVm026805"	-3.99890590348663	4.2499069659854	269.015298588932	1.86003903608623e-60	1.62469759704542e-56
"PladumEVm058575"	-3.18855537825911	3.21074433217159	248.099831703551	6.74061786059508e-56	4.71020894862663e-52
"PladumEVm098962"	-3.43512260717639	3.35757420152536	241.887563580498	1.52454057988798e-54	8.87765388678438e-51
"PladumEVm097343"	-4.88360810654415	3.39129920427296	238.753742551101	7.35272231067748e-54	3.66995378303943e-50
"PladumEVm047370"	-3.52787473657837	6.3300446917035	222.310593196612	2.83397479717269e-50	1.23770306798021e-46
"PladumEVm062880"	-4.32005786619275	5.94777757608854	220.772510604717	6.13593347976021e-50	2.38203755388158e-46
"PladumEVm070140"	-6.15357501384029	4.74582947024805	213.197877542252	2.75552300463602e-48	9.62752182589779e-45
"PladumEVm045311"	-4.52300087558499	3.58404685765436	204.240041481354	2.48088792325093e-46	7.87997665004221e-43
"PladumEVm044890"	3.1797303123976	3.14956976353488	199.942120767282	2.15011877066023e-45	6.26024997734148e-42
"PladumEVm038304"	3.26825668073272	1.9697661117675	192.658717711055	8.35624269385261e-44	2.24583664215782e-40
"PladumEVm022248"	3.59594618844981	4.68642743818982	191.072224583897	1.85477381387468e-43	4.62885302021196e-40
"PladumEVm086471"	-5.1130741722426	4.04674747730067	178.052916884792	1.28991197129842e-40	3.00454895767969e-37
"PladumEVm057626"	-3.80541798320071	4.77666507961327	176.71369052157	2.52924468765071e-40	5.52308000886425e-37
"PladumEVm061353"	-3.45258169527592	7.58683244255108	173.347941726069	1.37398900064253e-39	2.82387068784995e-36
"PladumEVm074405"	-6.95061399709549	1.61870319291848	173.134895889262	1.52935960088967e-39	2.96857194974912e-36
"PladumEVm092092"	-5.63804325512917	3.16696636643791	169.889253848284	7.82266255950744e-39	1.438505300877e-35
"PladumEVm085757"	-6.57633028235274	2.42268366379949	168.781804017517	1.36533151793792e-38	2.38516589526164e-35
"PladumEVm046400"	-2.9326162310493	7.15130239820622	168.310514837367	1.73052329107946e-38	2.8791787270012e-35
"PladumEVm063002"	-4.01446668717019	6.01674103048847	167.509535371912	2.58899851193459e-38	4.11168268220375e-35
"PladumEVm089920"	-3.56070390901825	3.4733442924252	160.425969592709	9.13229352410748e-37	1.38727479755996e-33
"PladumEVm085941"	-3.69125129248883	1.90773965824061	158.469759079518	2.44341535766238e-36	3.55710371589025e-33
"PladumEVm115996"	-3.8970387517289	4.01446233753863	157.539002982969	3.90276020862469e-36	5.45434155716552e-33
"PladumEVm032632"	-2.40810747438944	4.72031687855003	157.217808720564	4.58728826653196e-36	6.16443325939846e-33
"PladumEVm015436"	2.65285434128357	4.72630121811875	149.203891777709	2.58805221189286e-34	3.34903541597499e-31
"PladumEVm017982"	5.32455431459861	5.11473988422588	147.534811654768	5.99542711407126e-34	7.48122242637627e-31
"PladumEVm062339"	-6.62122394039056	3.14750217008404	142.040666019905	9.5277308441692e-33	1.14789444125665e-29
"PladumEVm104642"	-5.37078394850377	3.65134866651517	141.479200554858	1.26403320058774e-32	1.4721351998445e-29
"PladumEVm051697"	3.74597870076345	4.27628988203858	138.257998155537	6.39979072319039e-32	7.21297703475964e-29
"PladumEVm015580"	5.21372495844011	5.68046181620853	137.965532591114	7.41527504506326e-32	8.09632171248329e-29
"PladumEVm085825"	-3.41300904516705	5.28705614248023	136.093775797957	1.9032615027175e-31	2.0150925346499e-28
"PladumEVm075919"	-4.52565865460056	3.52489510760038	133.680014798114	6.41904322605029e-31	6.59632209632268e-28
"PladumEVm013553"	3.8318376094489	5.04975316666997	130.323488515804	3.48154446965758e-30	3.47547663501046e-27
