""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm014050"	0.438444489941267	1.51947601389915	1.59390784854762	0.206768698633754	0.553944678449029
"PladumEVm062749"	0.557599632359473	1.36352925414882	1.59383749008906	0.20677871925201	0.553944678449029
"PladumEVm090864"	1.70258967375133	1.42396742361862	1.59372508013149	0.206794730134856	0.553944678449029
"PladumEVm075922"	0.659076943570757	2.95811511214332	1.59364724423858	0.206805817389543	0.553944678449029
"PladumEVm033433"	0.703610865041187	-0.255000020960931	1.59363399701035	0.206807704447441	0.553944678449029
"PladumEVm018190"	0.531725112190087	1.38552519542631	1.59332001928741	0.206852436298094	0.553959170528142
"PladumEVm031897"	0.684175502524102	0.308887570276415	1.59327915407034	0.206858259133915	0.553959170528142
"PladumEVm002511"	-0.858105548953749	2.10194036742126	1.59320129273817	0.206869354037847	0.553959170528142
"PladumEVm016307"	-0.490173408556846	1.71982866530198	1.59315090098774	0.20687653501964	0.553959170528142
"PladumEVm088974"	-0.391459162355192	1.96669142120213	1.59277915567357	0.206929518988813	0.554058584102241
"PladumEVm008467"	-0.514713712309126	1.12926150170398	1.5925775831114	0.206958255346981	0.554093063874955
"PladumEVm021274"	0.816638643054214	1.21603005894559	1.5924629873846	0.206974594314777	0.554094349150561
"PladumEVm124146"	-0.654928226143296	0.903633983286253	1.59225239541716	0.207004624324597	0.554113239898831
"PladumEVm036838"	0.41477252021655	1.81962158048584	1.59219107407139	0.207013369598427	0.554113239898831
"PladumEVm023067"	0.442912794685452	1.64023814866133	1.59201369537505	0.207038668716879	0.554138505155433
"PladumEVm076750"	0.737087638156678	-0.113889326495131	1.59136431376235	0.207131319709364	0.554344019864072
"PladumEVm101680"	-0.510297404203367	2.99527476015838	1.5906431520294	0.207234269407452	0.554577063329271
"PladumEVm036841"	-0.691793018501944	0.0196019073363457	1.59037744891463	0.207272215192831	0.554630437247646
"PladumEVm066270"	-1.27353569118402	0.0784631849275592	1.59021812555132	0.207294972534395	0.554630437247646
"PladumEVm012965"	-0.676529624398963	-0.0442942452683519	1.59008187317142	0.207314436818325	0.554630437247646
"PladumEVm008758"	-0.81705097133443	1.08388695167791	1.59005895381578	0.207317711166727	0.554630437247646
"PladumEVm098583"	-0.450806962985849	2.90421807225338	1.5898786031542	0.207343478897514	0.554656902932414
"PladumEVm128822"	-0.605738009626545	0.372484048210524	1.58944112961459	0.207405998973887	0.554781671883987
"PladumEVm100318"	-0.768149784781022	-0.536784586169958	1.58913372394033	0.207449944163569	0.55482399362813
"PladumEVm005449"	0.353984741737807	4.03872695699523	1.58910828973007	0.207453580604994	0.55482399362813
"PladumEVm013955"	0.698589448074875	6.6491735816148	1.58887546068525	0.207486872704441	0.55486892918297
"PladumEVm001764"	-0.334366505661969	4.87963972237199	1.58869863743739	0.20751216078463	0.55486892918297
"PladumEVm027376"	-0.282570587359291	3.4318325873364	1.58865763196255	0.207518025634216	0.55486892918297
