"","DMSO_1dpa_rep1","DMSO_1dpa_rep2","DMSO_1dpa_rep3","median_DMSO_1dpa"
"PladumEVm000508",52.116,59.523,69.763,59.523
"PladumEVm000512",40.145,32.719,39.176,39.176
"PladumEVm000515",29.153,19.88,42.952,29.153
"PladumEVm000529",69.399,59.159,69.837,69.399
"PladumEVm000530",20.108,13.684,22.64,20.108
"PladumEVm000542",15.253,12.654,18.76,15.253
"PladumEVm000548",60.138,48.235,53.634,53.634
"PladumEVm000555",11.835,10.97,15.731,11.835
"PladumEVm000558",14.954,20.455,26.011,20.455
"PladumEVm000571",14.303,9.073,13.395,13.395
"PladumEVm000576",50.527,41.059,57.374,50.527
"PladumEVm000579",19.439,12.788,20.573,19.439
"PladumEVm000584",20.025,14.403,15.914,15.914
"PladumEVm000589",16.681,12.731,17.835,16.681
"PladumEVm000592",22.43,26.097,23.947,23.947
"PladumEVm000599",27.371,20.393,28.228,27.371
"PladumEVm000610",15.15,15.239,20.18,15.239
"PladumEVm000616",26.384,17.912,28.939,26.384
"PladumEVm000619",25.376,20.686,30.588,25.376
"PladumEVm000620",20.584,18.346,23.079,20.584
"PladumEVm000621",51.039,42.648,45.559,45.559
"PladumEVm000626",16.947,12.278,16.948,16.947
"PladumEVm000627",53.082,37.253,49.387,49.387
"PladumEVm000628",14.037,11.613,11.019,11.613
"PladumEVm000629",16.989,12.014,18.765,16.989
"PladumEVm000631",13.651,10.559,15.054,13.651
"PladumEVm000634",162.577,313.755,285.97,285.97
"PladumEVm000637",24.321,19.68,23.562,23.562
"PladumEVm000641",17.953,16.151,21.84,17.953
"PladumEVm000647",43.095,26.183,34.664,34.664
"PladumEVm000650",18.157,14.286,20.068,18.157
"PladumEVm000661",10.562,7.81,11.566,10.562
"PladumEVm000663",17.998,11.063,17.399,17.399
"PladumEVm000665",60.343,37.438,69.469,60.343
"PladumEVm000667",15.481,11.696,15.911,15.481
"PladumEVm000669",25.61,33.519,39.288,33.519
"PladumEVm000675",22.787,22.961,25.543,22.961
"PladumEVm000676",24.129,19.466,26.098,24.129
"PladumEVm000680",20.238,14.313,14.843,14.843
"PladumEVm000687",17.408,11.565,19.011,17.408
"PladumEVm000691",26.151,11.405,18.536,18.536
"PladumEVm000700",13.783,7.821,12.848,12.848
"PladumEVm000701",35.502,30.414,30.139,30.414
"PladumEVm000705",25.112,16.932,31.867,25.112
"PladumEVm000706",16.666,13.752,14.878,14.878
"PladumEVm000712",37.143,28.244,37.06,37.06
"PladumEVm000714",13.814,10.455,15.649,13.814
"PladumEVm000721",10.871,7.784,11.702,10.871
"PladumEVm000723",12.479,8.401,12.155,12.155
"PladumEVm000728",27.68,20.403,25.721,25.721
"PladumEVm000733",12.082,7.135,10.55,10.55
"PladumEVm000734",23.777,18.941,20.992,20.992
"PladumEVm000740",41.464,25.358,32.521,32.521
"PladumEVm000742",10.476,8.503,10.633,10.476
"PladumEVm000745",24.882,16.676,23.307,23.307
"PladumEVm000750",18.47,9.392,13.544,13.544
"PladumEVm000751",37.213,16.042,25.466,25.466
